area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;016803;042;06;1;1;1;2;3;2;2;2;1;2;2;2;2;2;1;2;1;2713;119,07061101816;010150016803;01015001680304206;010150016803042061;202306
1;10150;016803;042;07;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2713;119,07061101816;010150016803;01015001680304207;010150016803042071;202306
1;10150;017102;042;02;1;2;2;1;3;2;2;1;3;2;2;2;2;2;3;2;2;2713;98,0922359489048;010150017102;01015001710204202;010150017102042021;202306
1;10150;017102;042;03;1;2;3;1;2;2;3;2;3;2;2;3;3;3;3;2;2;2713;98,0922359489048;010150017102;01015001710204203;010150017102042031;202306
1;10150;017102;042;04;1;2;2;1;2;3;2;2;3;2;3;2;3;3;3;3;3;2713;98,0922359489048;010150017102;01015001710204204;010150017102042041;202306
1;10150;017102;042;05;1;2;2;1;2;2;3;2;2;3;2;3;2;2;3;3;3;2713;98,0922359489048;010150017102;01015001710204205;010150017102042051;202306
1;10150;017102;042;06;1;2;3;1;2;2;3;2;2;1;3;3;3;2;2;2;2;2713;98,0922359489048;010150017102;01015001710204206;010150017102042061;202306
1;10150;017102;042;08;1;2;3;1;3;2;3;3;2;3;2;3;2;3;2;2;3;2713;98,0922359489048;010150017102;01015001710204208;010150017102042081;202306
1;10150;017801;049;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;571,150534019586;010150017801;01015001780104902;010150017801049021;202306
1;10150;017801;049;03;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;571,150534019586;010150017801;01015001780104903;010150017801049031;202306
1;10150;017801;049;04;1;2;2;3;3;3;3;2;3;2;2;3;3;2;3;3;2;2712;571,150534019586;010150017801;01015001780104904;010150017801049041;202306
1;10150;017801;049;06;1;2;2;3;2;2;2;3;3;3;2;2;2;2;2;2;2;2712;571,150534019586;010150017801;01015001780104906;010150017801049061;202306
1;10150;017801;049;07;1;2;3;1;2;3;3;3;2;3;3;3;3;2;3;2;2;2712;571,150534019586;010150017801;01015001780104907;010150017801049071;202306
1;10150;017801;049;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;2712;571,150534019586;010150017801;01015001780104908;010150017801049081;202306
1;10150;017801;049;09;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;571,150534019586;010150017801;01015001780104909;010150017801049091;202306
1;10150;019905;036;01;1;2;2;2;3;3;3;3;3;2;2;2;3;1;2;2;2;2712;206,555803102227;010150019905;01015001990503601;010150019905036011;202306
1;10150;019905;036;02;1;1;2;1;3;2;3;2;3;2;3;2;3;3;2;2;2;2712;206,555803102227;010150019905;01015001990503602;010150019905036021;202306
1;10150;019905;036;03;1;3;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;2712;206,555803102227;010150019905;01015001990503603;010150019905036031;202306
1;10150;019905;036;04;1;2;2;1;3;2;3;2;3;2;3;2;2;2;2;2;3;2712;206,555803102227;010150019905;01015001990503604;010150019905036041;202306
1;10150;019905;036;05;1;2;3;1;3;3;3;3;3;3;3;3;3;3;2;2;2;2712;206,555803102227;010150019905;01015001990503605;010150019905036051;202306
1;10150;019905;036;06;1;2;2;1;3;2;3;3;2;3;2;2;2;1;2;2;2;2712;206,555803102227;010150019905;01015001990503606;010150019905036061;202306
1;10150;019905;036;07;1;2;3;2;3;3;2;3;2;3;2;3;2;1;2;2;2;2712;206,555803102227;010150019905;01015001990503607;010150019905036071;202306
1;10150;020401;036;01;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2712;136,249695457758;010150020401;01015002040103601;010150020401036011;202306
1;10150;020401;036;02;1;3;3;2;3;3;2;2;3;2;3;3;2;2;3;2;2;2712;136,249695457758;010150020401;01015002040103602;010150020401036021;202306
1;10150;020401;036;03;1;1;3;2;3;3;3;3;3;2;2;3;3;2;2;2;2;2712;136,249695457758;010150020401;01015002040103603;010150020401036031;202306
